날짜,지역,제품,수량,단가
2025-06-06,대구,키보드,8,27000
2025-06-07,대구,노트북,2,1166000
2025-06-09,인천,노트북,13,1003000
2025-06-11,서울,마우스,18,15000
2025-06-12,인천,노트북,13,1195000
2025-06-12,인천,모니터,18,159000
2025-06-13,서울,키보드,5,29000
2025-06-16,부산,모니터,16,204000
2025-06-18,인천,마우스,16,19000
2025-06-20,부산,노트북,9,965000
2025-06-22,인천,키보드,9,46000
2025-06-23,서울,모니터,8,199000
2025-06-24,대구,모니터,5,205000
2025-06-24,부산,모니터,2,214000
2025-06-24,대구,모니터,1,222000
2025-06-26,대구,키보드,2,49000
2025-06-26,대구,모니터,14,305000
2025-06-26,대구,모니터,18,345000
2025-06-29,부산,노트북,3,1467000
2025-07-01,부산,키보드,9,24000
2025-07-05,대구,노트북,8,859000
2025-07-05,인천,모니터,5,261000
2025-07-13,서울,노트북,18,1100000
2025-07-14,대구,키보드,7,49000
2025-07-15,인천,모니터,17,214000
2025-07-15,서울,노트북,16,1027000
2025-07-16,부산,마우스,7,12000
2025-07-17,부산,노트북,9,845000
2025-07-21,서울,노트북,3,1458000
2025-07-27,서울,키보드,10,38000
2025-07-28,대구,모니터,18,269000
2025-07-29,대구,키보드,11,26000
2025-07-30,부산,키보드,9,30000
2025-08-04,인천,마우스,6,29000
2025-08-06,대구,키보드,12,49000
2025-08-09,대구,마우스,15,24000
2025-08-10,대구,노트북,20,1056000
2025-08-13,인천,키보드,4,35000
2025-08-13,서울,키보드,15,39000
2025-08-15,인천,키보드,18,48000
2025-08-15,대구,모니터,19,259000
2025-08-18,대구,마우스,1,15000
2025-08-21,대구,키보드,14,55000
2025-08-22,대구,모니터,7,328000
2025-08-23,대구,키보드,3,20000
2025-08-24,대구,마우스,10,17000
2025-08-25,서울,노트북,5,1310000
2025-08-26,인천,마우스,11,10000
2025-08-27,대구,마우스,12,15000
2025-08-27,인천,모니터,19,218000
2025-08-28,서울,모니터,4,165000
2025-08-29,인천,마우스,9,15000
2025-09-01,인천,마우스,9,17000
2025-09-04,부산,모니터,13,381000
2025-09-07,부산,마우스,9,23000
2025-09-11,서울,마우스,5,26000
2025-09-16,인천,키보드,9,23000
2025-09-17,서울,마우스,10,26000
2025-09-17,대구,마우스,5,21000
2025-09-18,대구,키보드,14,50000
2025-09-21,부산,노트북,9,1485000
2025-09-23,대구,마우스,20,25000
2025-09-24,인천,키보드,8,37000
2025-09-25,대구,마우스,20,27000
2025-09-30,부산,노트북,5,1475000
2025-10-01,부산,마우스,6,24000
2025-10-02,인천,마우스,5,23000
2025-10-06,대구,모니터,20,356000
2025-10-09,부산,모니터,9,285000
2025-10-09,서울,모니터,2,316000
2025-10-09,서울,모니터,15,172000
2025-10-10,인천,모니터,18,152000
2025-10-10,인천,노트북,3,1030000
2025-10-12,서울,키보드,17,32000
2025-10-15,부산,노트북,18,1229000
2025-10-17,서울,노트북,12,1345000
2025-10-18,서울,마우스,3,25000
2025-10-19,서울,키보드,20,26000
2025-10-20,인천,마우스,8,23000
2025-10-21,대구,노트북,16,1290000
2025-10-22,인천,노트북,16,806000
2025-10-23,부산,키보드,3,22000
2025-10-23,서울,노트북,5,952000
2025-10-24,서울,노트북,11,858000
2025-10-24,서울,마우스,20,12000
2025-10-26,부산,키보드,14,28000
2025-10-27,인천,키보드,19,45000
2025-10-27,인천,노트북,17,1343000
2025-10-28,인천,키보드,5,48000
2025-10-29,부산,마우스,1,12000
2025-10-31,부산,노트북,4,1108000
2025-11-03,대구,노트북,16,819000
2025-11-07,부산,모니터,17,247000
2025-11-09,서울,모니터,15,256000
2025-11-14,부산,모니터,8,371000
2025-11-15,서울,모니터,3,287000
2025-11-17,부산,마우스,9,12000
2025-11-17,부산,키보드,14,27000
2025-11-19,부산,노트북,6,1118000
2025-11-21,인천,노트북,9,845000
2025-11-22,인천,모니터,3,270000
2025-11-28,부산,마우스,9,14000
2025-11-29,서울,모니터,11,368000
2025-12-02,인천,마우스,13,24000
2025-12-03,대구,모니터,9,202000
2025-12-03,인천,노트북,14,855000
2025-12-04,서울,마우스,10,26000
2025-12-05,대구,모니터,3,279000
2025-12-07,대구,노트북,20,1121000
2025-12-08,대구,노트북,4,937000
2025-12-11,대구,노트북,19,841000
2025-12-12,부산,노트북,13,922000
2025-12-12,부산,모니터,17,271000
2025-12-14,대구,모니터,1,179000
2025-12-15,인천,마우스,20,12000
2025-12-15,서울,노트북,18,1073000
2025-12-16,부산,마우스,4,21000
2025-12-20,인천,마우스,16,24000
2025-12-23,대구,모니터,18,182000
2025-12-23,인천,마우스,16,22000
2025-12-24,부산,키보드,16,26000
2025-12-26,인천,키보드,3,34000
